Data | Canal | Tema | Resumo | Resolvido
|------------|-----------|------------|-----------|------------|
2025-09-15,Chat,CDB,Cliente perguntou sobre rentabilidade e prazos,Sim
2025-09-22,Telefone,Problema no app,Erro ao visualizar extrato foi corrigido,Sim
2025-10-01,Chat,Tesouro Selic,Cliente pediu explicação sobre o funcionamento do Tesouro Direto,Sim
2025-10-12,Chat,Metas financeiras,Cliente acompanhou o progresso da reserva de emergência,Sim
2025-11-25,Email,Atualização cadastral,Cliente atualizou e-mail e telefone,Sim

Data | Canal | Tema | Resumo | Resolvido
|------------|-----------|------------|-----------|------------|
2025-09-17,Chat,Abertura de Conta,Cliente solicitou abertura de conta,Sim
2026-01-14,Telefone,Problema no app,Erro ao realizar login na conta,Sim
2026-10-04,Chat,Metas financeiras,Cliente acompanhou o progresso do planejamento "Carro Zero",Sim

Data | Canal | Tema | Resumo | Resolvido
|------------|-----------|------------|-----------|------------|
2025-10-15,Chat,Conta,Cliente solicitou upgrade de conta,Sim
2026-03-12,Chat,Metas financeiras,Cliente acompanhou o progresso do planejamento "Apartamento",Sim
2026-06-25,Email,Atualização cadastral,Cliente atualizou e-mail e telefone,Sim

